,Questions,Category0,Category1,Category2
0,How did serfdom develop in and then leave Russia ?,DESCRIPTION,DESC,manner
1,What films featured the character Popeye Doyle ?,ENTITY,ENTY,cremat
2,How can I find a list of celebrities ' real names ?,DESCRIPTION,DESC,manner
3,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,ENTITY,ENTY,animal
4,What is the full form of .com ?,ABBREVIATION,ABBR,exp
5,What contemptible scoundrel stole the cork from my lunch ?,HUMAN,HUM,ind
6,What team did baseball 's St. Louis Browns become ?,HUMAN,HUM,gr
7,What is the oldest profession ?,HUMAN,HUM,title
8,What are liver enzymes ?,DESCRIPTION,DESC,def
9,Name the scar-faced bounty hunter of The Old West .,HUMAN,HUM,ind
10,When was Ozzy Osbourne born ?,NUMERIC,NUM,date
11,Why do heavier objects travel downhill faster ?,DESCRIPTION,DESC,reason
12,Who was The Pride of the Yankees ?,HUMAN,HUM,ind
13,Who killed Gandhi ?,HUMAN,HUM,ind
14,What is considered the costliest disaster the insurance industry has ever faced ?,ENTITY,ENTY,event
15,What sprawling U.S. state boasts the most airports ?,LOCATION,LOC,state
16,What did the only repealed amendment to the U.S. Constitution deal with ?,DESCRIPTION,DESC,desc
17,How many Jews were executed in concentration camps during WWII ?,NUMERIC,NUM,count
18,What is `` Nine Inch Nails '' ?,DESCRIPTION,DESC,def
19,What is an annotated bibliography ?,DESCRIPTION,DESC,def
20,What is the date of Boxing Day ?,NUMERIC,NUM,date
21,What articles of clothing are tokens in Monopoly ?,ENTITY,ENTY,other
22,Name 11 famous martyrs .,HUMAN,HUM,ind
23,What 's the Olympic motto ?,DESCRIPTION,DESC,desc
24,What is the origin of the name ` Scarlett ' ?,DESCRIPTION,DESC,desc
25,What 's the second-most-used vowel in English ?,ENTITY,ENTY,letter
26,Who was the inventor of silly putty ?,HUMAN,HUM,ind
27,What is the highest waterfall in the United States ?,LOCATION,LOC,other
28,Name a golf course in Myrtle Beach .,ENTITY,ENTY,other
